Region of Incident,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Location Coordinates,Migration Route
Mediterranean,2018,Jul,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Drowning,Libya,"32.871782897208, 13.416166775391",Central Mediterranean
North Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Accident,"Sahara desert, Sudan","18.074280000000, 34.434549000000",Unknown
Horn of Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Somalia,"2.500000000000, 42.329444000000",Unknown
Mediterranean,2018,Jul,Unknown,10.0,10,32.0,Unknown,Unknown,Unknown,Drowning,Morocco,"35.535640003676, -4.027877171094",Western Mediterranean
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"27.499223816780, -99.507652403705",Central America to US
US-Mexico Border,2018,Jul,1.0,Unknown,1,1.0,Unknown,1.0,Unknown,Cardiac arrest,"Texas, USA","26.296039752680, -98.565006291016",Central America to US
North Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Libya,"25.853161000000, 14.222440000000",Unknown
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Dehydration,"California, USA","32.699221989858, -115.228038584730",Central America to US
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Weather conditions,"Arizona, USA","31.852934300000, -112.728750500000",Central America to US
South America,2018,Jul,Unknown,1.0,1,Unknown,1.0,Unknown,Unknown,Weather conditions,Colombia,"7.183340000000, -72.883300000000",Unknown
Horn of Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Somalia,"2.500000000000, 42.329444000000",Unknown
Sub-Saharan Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,Niger,"16.967643000000, 7.985137000000",Unknown
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.377021100000, -113.165430700000",Central America to US
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.377021100000, -113.165430700000",Central America to US
Middle East,2018,Jul,3.0,Unknown,3,Unknown,1.0,1.0,1.0,Murdered,Syria,"36.008703898861, 36.375425242882",Unknown
North Africa,2018,Jul,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","21.053344000000, 24.890891000000",Unknown
Horn of Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Accident,Somalia,"6.770377000000, 47.417650000000",Unknown
North Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","22.396611000000, 26.693147000000",Unknown
US-Mexico Border,2018,Jul,1.0,Unknown,1,2.0,1.0,Unknown,Unknown,Dehydration,"Texas, USA","27.591228418645, -99.405928364844",Central America to US
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.025035700000, -111.326864900000",Central America to US
North Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Sickness and lack of access to medicines,"Sahara desert, Libya","21.983583000000, 23.441843000000",Unknown
North Africa,2018,Jul,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Libya","24.740071000000, 13.730700000000",Unknown
US-Mexico Border,2018,Jul,1.0,Unknown,1,1.0,Unknown,1.0,Unknown,Dehydration,"Texas, USA","27.135738507782, -98.646765906641",Central America to US
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Dehydration,"Texas, USA","27.604615841947, -99.399061909766",Central America to US
Central America,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"32.388181600000, -115.225726400000",Unknown
North Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,"Sahara desert, Libya","23.648314000000, 22.326002000000",Unknown
North Africa,2018,Jul,2.0,Unknown,2,Unknown,1.0,1.0,1.0,Murdered,"Sahara desert, Sudan","21.943709000000, 27.672666000000",Unknown
North Africa,2018,Jul,2.0,Unknown,2,Unknown,1.0,1.0,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","19.635357000000, 27.103538000000",Unknown
North Africa,2018,Jul,2.0,Unknown,2,Unknown,2.0,Unknown,Unknown,Murdered,"Sahara desert, Sudan","21.943709000000, 27.672666000000",Unknown
Horn of Africa,2018,Jul,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Murdered,Ethiopia,"5.321172000000, 39.569408000000",Unknown
Horn of Africa,2018,Jul,7.0,Unknown,7,Unknown,2.0,2.0,2.0,Murdered,Ethiopia,"5.321172000000, 39.569408000000",Unknown
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"28.697425359808, -100.510825480810",Central America to US
Mediterranean,2018,Jul,Unknown,3.0,3,10.0,Unknown,Unknown,Unknown,Drowning,Algeria,"36.827365026355, 2.019972303906",Western Mediterranean
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Dehydration,"California, USA","32.705372916338, -115.172999377480",Central America to US
Europe,2018,Jul,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Accident,Greece,"40.871091800000, 26.047733822656",Unknown
Middle East,2018,Jul,2.0,2.0,4,5.0,1.0,3.0,3.0,Drowning,Greece,"41.326511291792, 26.509713432910",Unknown
Mediterranean,2018,Jul,2.0,Unknown,2,Unknown,1.0,1.0,Unknown,Drowning,Libya,"32.807168437915, 13.553495876953",Central Mediterranean
Central America,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"25.420564220696, -101.016036964530",Central America to US
Horn of Africa,2018,Jul,3.0,2.0,5,160.0,2.0,3.0,Unknown,Drowning,Yemen,"13.208862145310, 47.032619421875",Horn Africa to Yemen
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Dehydration,"Texas, USA","28.261653600000, -99.809398600000",Central America to US
North Africa,2018,Jul,2.0,Unknown,2,Unknown,2.0,Unknown,Unknown,Murdered,"Sahara desert, Sudan","18.074280000000, 34.434549000000",Unknown
North Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Morocco,"35.211825542268, -2.929643536523",Unknown
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Weather conditions,"Arizona, USA","31.459629000000, -110.089668000000",Central America to US
North Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,"Sahara desert, Libya","22.143669000000, 22.317084000000",Unknown
Horn of Africa,2018,Jul,2.0,Unknown,2,Unknown,2.0,Unknown,1.0,Sickness and lack of access to medicines,Ethiopia,"3.536064000000, 39.065407000000",Unknown
Mediterranean,2018,Jul,1.0,Unknown,1,164.0,Unknown,Unknown,1.0,Drowning,Libya,"34.372923829775, 14.267898900000",Central Mediterranean
Mediterranean,2018,Jul,2.0,Unknown,2,1.0,1.0,1.0,1.0,Drowning,Libya,"34.807049948548, 14.355789525000",Central Mediterranean
North Africa,2018,Jul,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Sickness and lack of access to medicines,Libya,"27.014784000000, 14.312175000000",Unknown
North Africa,2018,Jul,2.0,Unknown,2,Unknown,1.0,1.0,1.0,Sickness and lack of access to medicines,"Sahara desert, Sudan","21.943709000000, 27.672666000000",Unknown
North Africa,2018,Jul,8.0,Unknown,8,90.0,1.0,1.0,6.0,Suffocation,Libya,"32.870128661262, 12.191524254297",Unknown
Sub-Saharan Africa,2018,Jul,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Dehydration,Niger,"19.405237147755, 5.753553025781",Unknown
North Africa,2018,Jul,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Murdered,"Sahara desert, Sudan","21.943709000000, 27.672666000000",Unknown
Mediterranean,2018,Jul,Unknown,17.0,17,18.0,Unknown,Unknown,Unknown,Drowning,Libya,"33.064676173785, 12.496213994531",Central Mediterranean
US-Mexico Border,2018,Jul,1.0,Unknown,1,3.0,Unknown,1.0,Unknown,Weather conditions,"Texas, USA","27.622260401107, -99.549437275977",Central America to US
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.523634400000, -111.563820100000",Central America to US
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Unknown,"Arizona, USA","31.446657800000, -110.371313200000",Central America to US
North Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,"Sahara desert, Libya","23.467103000000, 22.394775000000",Unknown
North Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Libya,"27.540416000000, 14.282182000000",Unknown
Sub-Saharan Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Niger,"16.946465000000, 7.967111000000",Unknown
Sub-Saharan Africa,2018,Jul,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,Niger,"16.985362000000, 7.972810000000",Unknown
Horn of Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Somalia,"-0.310591000000, 42.396130000000",Unknown
Mediterranean,2018,Jul,4.0,Unknown,4,Unknown,Unknown,Unknown,1.0,Drowning,Libya,"33.259416655075, 12.356319176172",Central Mediterranean
Southeast Asia,2018,Jul,3.0,Unknown,3,Unknown,Unknown,3.0,3.0,Sickness and lack of access to medicines,Bangladesh,"16.969076884722, 92.187177600634",Unknown
South America,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Colombia,"8.683377435495, -77.347311625781",Unknown
Sub-Saharan Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Niger,"16.993078000000, 8.007654000000",Unknown
Central America,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"25.519017269300, -103.436584432260",Unknown
Sub-Saharan Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Sickness and lack of access to medicines,Niger,"16.967643000000, 7.985137000000",Unknown
Sub-Saharan Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Niger,"16.967643000000, 7.985137000000",Unknown
North Africa,2018,Jul,2.0,Unknown,2,Unknown,2.0,Unknown,1.0,Sickness and lack of access to medicines,"Sahara desert, Libya","27.112849000000, 16.010267000000",Unknown
Middle East,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Syria,"36.037065773178, 36.380504869171",Unknown
North Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Starvation,"Sahara desert, Libya","27.062788000000, 15.071861000000",Unknown
Horn of Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Ethiopia,"9.573928000000, 41.845284000000",Unknown
North Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","19.635357000000, 27.103538000000",Unknown
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.412880585183, -99.033961643408",Central America to US
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","32.448212000000, -111.699247000000",Central America to US
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Unknown,"Arizona, USA","32.057701900000, -112.143021500000",Central America to US
North Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Libya,"31.723048000000, 14.025968000000",Unknown
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"California, USA","32.454000000000, -116.160900000000",Central America to US
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Unknown,"Arizona, USA","31.898889970669, -112.057105228130",Central America to US
Middle East,2018,Jul,1.0,Unknown,1,Unknown,1.0,Unknown,1.0,Murdered,Syria,"36.003732194029, 36.369817650125",Unknown
South Asia,2018,Jul,3.0,Unknown,3,Unknown,Unknown,3.0,Unknown,Murdered,Afghanistan,"29.898645000000, 61.364025000000",Unknown
North Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Libya,"22.976271000000, 22.479841000000",Unknown
North Africa,2018,Jul,1.0,Unknown,1,Unknown,1.0,Unknown,1.0,Accident,"Sahara desert, Sudan","19.635357000000, 27.103538000000",Unknown
Sub-Saharan Africa,2018,Jul,2.0,Unknown,2,Unknown,2.0,Unknown,Unknown,Sickness and lack of access to medicines,Niger,"6.455027000000, 3.384082000000",Unknown
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Dehydration,"California, USA","32.367278581232, -115.885875271870",Central America to US
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"California, USA","32.680756666024, -115.448101148300",Central America to US
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.353453000000, -109.651615600000",Unknown
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Weather conditions,"Arizona, USA","31.725322100000, -112.005521300000",Central America to US
North Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,"Sahara desert, Libya","24.454284000000, 13.207711000000",Unknown
North Africa,2018,Jul,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Libya","22.141320000000, 5.690257000000",Unknown
Central America,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"18.735823585912, -97.411824347932",Unknown
Mediterranean,2018,Jul,9.0,Unknown,9,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"32.786952053043, 13.675468269531",Central Mediterranean
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Weather conditions,"Arizona, USA","31.967683100000, -113.013308300000",Unknown
Sub-Saharan Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Burkina Faso,"11.183333000000, -4.283333000000",Unknown
North Africa,2018,Jul,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Murdered,"Sahara desert, Sudan","19.635357000000, 27.103538000000",Unknown
Sub-Saharan Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Sickness and lack of access to medicines,Mali,"11.316667000000, -5.666667000000",Unknown
Sub-Saharan Africa,2018,Jul,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,Mali,"16.266667000000, -0.050000000000",Unknown
Mediterranean,2018,Jul,6.0,Unknown,6,125.0,Unknown,Unknown,Unknown,Drowning,Libya,"33.548959470348, 12.784844159375",Central Mediterranean
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"28.712361755412, -100.508497285710",Central America to US
Mediterranean,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"35.881069915197, -5.815255115625",Western Mediterranean
Central America,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"0.192065000000, -100.881201000000",Unknown
Sub-Saharan Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Burkina Faso,"12.357222000000, -1.535278000000",Unknown
Sub-Saharan Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Burkina Faso,"12.357222000000, -1.535278000000",Unknown
Mediterranean,2018,Jul,Unknown,114.0,114,16.0,20.0,91.0,3.0,Drowning,Libya,"32.976424176769, 14.449173314062",Central Mediterranean
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"27.508628000157, -99.526230117281",Central America to US
North Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Suffocation,"Sahara desert, Libya","21.143170000000, 23.823002000000",Unknown
US-Mexico Border,2018,Jun,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Dehydration,"California, USA","32.706321562181, -115.991433417970",Central America to US
US-Mexico Border,2018,Jun,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Central America to US
North Africa,2018,Jun,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,"Sahara desert, Libya","21.143170000000, 23.823002000000",Unknown
North Africa,2018,Jun,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Sickness and lack of access to medicines,Libya,"31.723048000000, 14.025968000000",Unknown
North Africa,2018,Jun,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","21.818949000000, 31.378376000000",Unknown
Horn of Africa,2018,Jun,6.0,Unknown,6,Unknown,1.0,2.0,1.0,Murdered,Ethiopia,"5.321172000000, 39.569408000000",Unknown
North Africa,2018,Jun,1.0,Unknown,1,Unknown,1.0,Unknown,1.0,Sickness and lack of access to medicines,"Sahara desert, Sudan","20.610678000000, 27.916851000000",Unknown
Mediterranean,2018,Jun,3.0,101.0,104,16.0,30.0,70.0,3.0,Drowning,Libya,"33.201475232466, 13.188591717969",Central Mediterranean
US-Mexico Border,2018,Jun,1.0,Unknown,1,1.0,Unknown,1.0,Unknown,Unknown,"Texas, USA","27.200119062524, -98.215582532813",Central America to US
Horn of Africa,2018,Jun,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Somalia,"0.487983000000, 42.778280000000",Unknown
Middle East,2018,Jun,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Syria,"36.576635771960, 36.583788674826",Unknown
Europe,2018,Jun,3.0,Unknown,3,7.0,1.0,2.0,Unknown,Accident,Greece,"40.878451475853, 25.697494104492",Unknown
US-Mexico Border,2018,Jun,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Texas, USA","26.292038352495, -98.564319645508",Central America to US
US-Mexico Border,2018,Jun,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,"Texas, USA","26.224699562150, -98.445427845508",Central America to US
US-Mexico Border,2018,Jun,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Weather conditions,"Texas, USA","26.375981300000, -98.143649700000",Central America to US
US-Mexico Border,2018,Jun,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Weather conditions,"Arizona, USA","31.440889700000, -111.326268000000",Central America to US
North Africa,2018,Jun,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Sickness and lack of access to medicines,"Sahara desert, Sudan","20.610678000000, 27.916851000000",Unknown
US-Mexico Border,2018,Jun,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Harsh conditions,"Arizona, USA","32.045696116532, -110.076667294170",Central America to US
US-Mexico Border,2018,Jun,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","32.028451900000, -110.075742400000",Central America to US
US-Mexico Border,2018,Jun,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","31.771801900000, -111.924265100000",Central America to US
US-Mexico Border,2018,Jun,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.021384700000, -111.783319900000",Central America to US
North Africa,2018,Jun,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"27.053928000000, 14.320411000000",Unknown
North Africa,2018,Jun,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","13.966799000000, 35.440559000000",Unknown
North Africa,2018,Jun,1.0,Unknown,1,Unknown,1.0,Unknown,1.0,Sickness and lack of access to medicines,"Sahara desert, Sudan","20.610678000000, 27.916851000000",Unknown
North Africa,2018,Jun,1.0,Unknown,1,Unknown,1.0,Unknown,1.0,Weather conditions,"Sahara desert, Sudan","18.074280000000, 34.434549000000",Unknown
US-Mexico Border,2018,Jun,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Dehydration,"Texas, USA","28.642264135393, -100.330563425780",Central America to US
Sub-Saharan Africa,2018,Jun,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Dehydration,"Sahara desert, Sudan","22.692586000000, 12.480116000000",Unknown
Mediterranean,2018,Jun,Unknown,4.0,4,97.0,Unknown,Unknown,Unknown,Drowning,Libya,"33.255516970248, 12.537412725000",Central Mediterranean
Mediterranean,2018,Jun,8.0,Unknown,8,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"32.812841133477, 12.894163513184",Central Mediterranean
US-Mexico Border,2018,Jun,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Weather conditions,"Arizona, USA","32.561705900000, -111.958059400000",Central America to US
Sub-Saharan Africa,2018,Jun,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Sickness and lack of access to medicines,Burkina Faso,"12.357222000000, -1.535278000000",Unknown
Sub-Saharan Africa,2018,Jun,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Accident,"Sahara desert, Sudan","23.987799000000, 18.005633000000",Unknown
